"Figure 6: EU and non-EU long-term immigration trends for work related reasons, UK, year ending December 2008 to year ending September 2018",,,,,,,,,,,,,,,,
"UK, 2008 to 2018",,,,,,,,,,,,,,,,
Units: ,Thousands,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Year Ending ,EU Definite Job,EU Definite Job 95% CI,EU Definite Job 60% CI ,EU Definite Job 30% CI ,EU Looking for Work ,EU Looking for Work 95% CI,EU Looking for Work 60% CI ,EU Looking for Work 30% CI ,Non-EU Definite Job ,Non-EU Definite Job 95% CI,Non-EU Definite Job 60% CI ,Non-EU Definite Job 30% CI ,Non-EU Looking for Work ,Non-EU Looking for Work 95% CI,Non-EU Looking for Work 60% CI ,Non-EU Looking for Work 30% CI 
Dec-08,70,18,8,4,29,11,5,2,43,8,3,2,22,6,3,1
,59,18,8,4,30,9,4,2,43,7,3,1,15,3,1,1
,59,14,6,3,29,7,3,1,41,7,3,1,13,3,1,1
,63,14,6,3,30,7,3,1,38,7,3,1,13,3,1,1
,66,15,6,3,29,7,3,1,35,6,3,1,14,3,1,1
Sep-10,68,16,7,3,33,8,3,2,35,5,2,1,14,3,1,1
,57,13,6,3,35,9,4,2,35,5,2,1,18,4,2,1
,51,13,6,3,33,9,4,2,36,6,3,1,15,4,2,1
,54,12,5,2,36,10,4,2,36,6,3,1,14,4,2,1
Sep-11,51,10,4,2,33,9,4,2,37,6,3,1,14,3,1,1
,56,10,4,2,37,9,4,2,37,6,3,1,10,3,1,1
,58,11,5,2,32,8,3,2,36,6,3,1,12,3,1,1
,50,10,4,2,33,7,3,1,36,6,3,1,12,3,1,1
Sep-12,51,10,4,2,38,9,4,2,32,5,2,1,13,5,2,1
,56,10,4,2,39,10,4,2,31,5,2,1,13,5,2,1
,57,10,4,2,47,11,5,2,32,6,3,1,12,5,2,1
,67,13,6,3,51,12,5,2,31,6,3,1,11,5,2,1
Sep-13,80,15,6,3,48,9,4,2,32,5,2,1,10,4,2,1
,76,15,6,3,50,9,4,2,33,5,2,1,11,4,2,1
,79,16,7,3,55,10,4,2,37,6,3,1,11,3,1,1
,79,14,6,3,59,11,5,2,43,6,3,1,12,4,2,1
Sep-14,82,15,6,3,61,11,5,2,52,10,4,2,13,4,2,1
,92,16,7,3,63,12,5,2,55,11,5,2,12,4,2,1
,99,16,7,3,63,11,5,2,52,8,3,2,13,4,2,1
,102,17,7,3,61,10,4,2,54,9,4,2,13,4,2,1
Sep-15,95,15,6,3,69,11,5,2,50,8,3,2,18,6,3,1
,100,15,6,3,77,14,6,3,51,9,4,2,22,7,3,1
,102,16,7,3,76,14,6,3,51,8,3,2,21,6,3,1
,108,17,7,3,82,15,6,3,51,7,3,1,24,7,3,1
Sep-16,113,17,7,3,67,15,6,3,49,8,3,2,18,5,2,1
,105,16,7,3,55,12,5,2,48,7,3,1,18,6,3,1
,110,17,7,3,47,10,4,2,52,9,4,2,19,6,3,1
,109,18,8,4,35,9,4,2,49,9,4,2,16,5,2,1
Sep-17,110,18,8,4,37,9,4,2,61,11,5,2,22,7,3,1
,106,19,8,4,38,10,4,2,69,12,5,2,22,8,3,2
,89,17,7,3,39,12,5,2,65,11,5,2,23,9,4,2
,77,16,7,3,37,11,5,2,68,11,5,2,22,9,4,2
Sep-18,70,17,7,3,34,11,5,2,69,12,5,2,15,7,3,1
