date,series1,series1a,series1b,series1c,series2,series2a,series2b,series2c,series3,series3a,series3b,series3c
Dec-08,-87,28,12,5.571428571,63,43,18.42857143,8.556122449,187,25,10.7,5
Jun-09,-70,22,9.428571429,4.37755102,62,34,14.57142857,6.765306122,174,23,9.9,4.6
Dec-09,-44,18,7.714285714,3.581632653,58,25,10.71428571,4.974489796,184,20,8.6,4
Mar-10,-34,18,7.714285714,3.581632653,58,26,11.14285714,5.173469388,199,20,8.6,4
Jun-10,-33,18,7.714285714,3.581632653,72,26,11.14285714,5.173469388,196,19,8.1,3.8
Sep-10,-44,18,7.714285714,3.581632653,81,27,11.57142857,5.37244898,218,19,8.1,3.8
Dec-10,-43,18,7.714285714,3.581632653,77,25,10.71428571,4.974489796,217,19,8.1,3.8
Mar-11,-50,17,7.285714286,3.382653061,77,24,10.28571429,4.775510204,215,19,8.1,3.8
Jun-11,-55,17,7.285714286,3.382653061,79,24,10.28571429,4.775510204,222,20,8.6,4
Sep-11,-60,17,7.285714286,3.382653061,75,22,9.428571429,4.37755102,228,21,9,4.2
Dec-11,-70,18,7.714285714,3.581632653,82,23,9.857142857,4.576530612,204,20,8.6,4
Mar-12,-77,18,7.714285714,3.581632653,76,23,9.857142857,4.576530612,185,21,9,4.2
Jun-12,-76,19,8.142857143,3.780612245,72,21,9,4.178571429,172,19,8.1,3.8
Sep-12,-72,19,8.142857143,3.780612245,65,21,9,4.178571429,160,19,8.1,3.8
Dec-12,-63,19,8.142857143,3.780612245,82,21,9,4.178571429,157,19,8.1,3.8
Mar-13,-65,18,7.714285714,3.581632653,95,22,9.428571429,4.37755102,145,18,7.7,3.6
Jun-13,-63,17,7.285714286,3.382653061,106,24,10.28571429,4.775510204,139,18,7.7,3.6
Sep-13,-58,17,7.285714286,3.382653061,130,25,10.71428571,4.974489796,138,19,8.1,3.8
Dec-13,-57,17,7.285714286,3.382653061,123,24,10.28571429,4.775510204,142,19,8.1,3.8
Mar-14,-50,16,6.857142857,3.183673469,130,26,11.14285714,5.173469388,156,20,8.6,4
Jun-14,-48,17,7.285714286,3.382653061,138,27,11.57142857,5.37244898,164,20,8.6,4
Sep-14,-54,20,8.571428571,3.979591837,158,28,12,5.571428571,188,24,10.3,4.8
Dec-14,-55,19,8.142857143,3.780612245,174,29,12.42857143,5.770408163,194,25,10.7,5
Mar-15,-48,18,7.714285714,3.581632653,184,28,12,5.571428571,200,23,9.9,4.6
Jun-15,-46,18,7.714285714,3.581632653,180,27,11.57142857,5.37244898,202,22,9.4,4.4
Sep-15,-40,18,7.714285714,3.581632653,171,26,11.14285714,5.173469388,192,20,8.6,4
Dec-15,-40,18,7.714285714,3.581632653,184,27,11.57142857,5.37244898,189,20,8.6,4
Mar-16,-43,19,8.142857143,3.780612245,178,28,12,5.571428571,193,21,9,4.2
Jun-16,-49,18,7.714285714,3.581632653,189,30,12.85714286,5.969387755,196,21,9,4.2
Sep-16,-56,18,7.714285714,3.581632653,165,30,12.85714286,5.969387755,197,0,0,0
Dec-16,-60,19,8.142857143,3.780612245,133,29,12.42857143,5.770408163,208,0,0,0
Mar-17,-59,20,8.571428571,3.979591837,123,28,12,5.571428571,212,0,0,0
Jun-17,-48,20,8.571428571,3.979591837,103,29,12.42857143,5.770408163,204,0,0,0
Sep-17,-51,20,8.571428571,3.979591837,106,33,14.14285714,6.566326531,222,26,11.1,5.2
Dec-17,-48,21,9,4.178571429,99,34,14.57142857,6.765306122,234,26,11.1,5.2
Mar-18,-55,20,8.571428571,3.979591837,86,34,14.57142857,6.765306122,235,27,11.6,5.4
Jun-18,-49,23,9.857142857,4.576530612,74,34,14.57142857,6.765306122,248,27,11.6,5.4
Sep-18,-35,24,10.28571429,4.775510204,57,36,15.42857143,7.163265306,261,29,12.4,5.8
